"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000075413",-0.0854403908580883,8.06200274089123,-0.753240176256762,0.454029475532819,0.676758572558905,-6.14120052758851
"ENSG00000211455",-0.0328435527281252,6.09193609104732,-0.287745768336794,0.774458222921298,0.888636983672121,-6.14124315878403
"ENSG00000138750",-0.0293030035401918,6.10015176140072,-0.220095419026129,0.826487704471339,0.919252937012755,-6.14191311464601
"ENSG00000089916",0.0404489945470345,6.25130649565597,0.332273357192165,0.740753666704959,0.868249994881372,-6.14209348203195
"ENSG00000112249",0.0449434919050358,6.0356811036998,0.244777520274605,0.807400989222185,0.908297596436918,-6.14249954202152
"ENSG00000168438",-0.0242110142810352,5.94040450854249,-0.200602578757972,0.841636666650516,0.925562486861528,-6.14293125687427
"ENSG00000140990",-0.0634167144376239,6.73667623215074,-0.546941186476751,0.586294917605543,0.772478954095601,-6.14363560213164
"ENSG00000119048",0.0416493070656312,6.09684462284156,0.287441027837528,0.774690481618927,0.888716307403646,-6.14369215486257
"ENSG00000101745",0.0956623897203919,9.44270618993438,0.813522955242668,0.418892981573998,0.649994008434959,-6.14387309178559
"ENSG00000141425",0.0279604986217938,6.06661045312049,0.21385062239329,0.831333982698079,0.919802505633456,-6.14402848794665
"ENSG00000173744",-0.0391886611391854,6.15262083267597,-0.315550864018278,0.753355925353952,0.878485248571989,-6.14437427052768
"ENSG00000113719",-0.058379061060986,6.48220175701318,-0.466687256095033,0.642286526195142,0.80681968981119,-6.14445660427463
"ENSG00000168066",-0.0605684512168843,8.33513115592568,-0.778174753038623,0.439293858461457,0.666093220400227,-6.14450524255202
"ENSG00000179218",0.0743670515759298,7.58762351800154,0.699560393104557,0.486701779422067,0.701839940257126,-6.1445440620347
"ENSG00000160094",0.05326785072078,6.39328292921479,0.410524338618859,0.682773565415071,0.835898962782316,-6.14461268584127
"ENSG00000188786",0.0274627356088333,5.95241231157352,0.192716252462152,0.847782995764849,0.929320273828349,-6.14574846178544
"ENSG00000178719",-0.0130914529549875,5.88745866424114,-0.090965288768116,0.927800352514713,0.965129790551905,-6.14614315278045
"ENSG00000129083",-0.0178701596688189,5.88686063922454,-0.142100411726142,0.887440908745035,0.949298659109159,-6.14721961616611
"ENSG00000121851",-0.0356574356796653,5.98887776703053,-0.250493487379308,0.802997049676177,0.905102212040584,-6.14740365518861
"ENSG00000166266",0.0220577089974725,6.01068279629342,0.158522967258096,0.874536972286571,0.942960707708182,-6.14743834925765
"ENSG00000136451",-0.0424244073045266,6.23857443771961,-0.350714058198337,0.72693873485953,0.862310282833286,-6.14766010230188
"ENSG00000184708",-0.052008927621702,6.36560442719594,-0.365360357626784,0.71603050190278,0.856707662351965,-6.14783503579338
"ENSG00000141252",0.0532403386030103,6.57297948571623,0.471880929457836,0.638594498322349,0.804593623233154,-6.14806042268241
"ENSG00000168522",-0.0156112570546307,5.80181677708206,-0.109443092659853,0.913188759932343,0.958399607804162,-6.14814086092553
"ENSG00000089639",0.0723078364169139,7.42465117383421,0.677043231787332,0.500784769092368,0.710858630019599,-6.14842835271381
"ENSG00000159210",0.037163854795792,5.9834933319114,0.254637926602922,0.799807903416778,0.903265642167207,-6.14901428884914
"ENSG00000163636",-0.047122188451703,6.44432644365371,-0.413542846802381,0.680572287951497,0.834952634837059,-6.14922582968427
"ENSG00000148429",-0.00657349688825448,5.95309659209655,-0.0446245028145379,0.964543633061059,0.982592280307456,-6.14927669792243
